Author,Betweenness_Centrality
Erik van Rijn,0.0032036159692080657
nicksavers,0.0008564975321834026
maurelian,0.0008564975321834026
Fabian Vogelsteller,0.003556881736565716
Agustin Aguilar,0.001997973378242408
Junseok Lee,0.0023244867948581114
Lev Dubinets,0.001997973378242408
Nick Mudge,0.000517442737355411
Ilan,0.0007380537686106513
Yamen Merhi,0.0020063771542851716
Drake Evans,0.0009896476137253784
Paul Berg,0.0015491563218761046
Leonid Logvinov,0.0029626386750792495
Noel Maersk,0.002817884952646524
Holger Drewes,0.0018313801022399904
Ev,0.0019815269133440726
Talha Cross,0.000292541773532516
jwasinger,0.000292541773532516
Péter Szilágyi,0.0008642835785079315
Boris Mann,0.00019546597006558081
juanchel,0.001715149660065227
5chdn,0.0017760585139164184
Brooklyn Zelenka,0.002803498420531938
Ikko Ashimine,0.00014874412105470518
Antoine Toulme,0.00014874412105470518
gluk256,0.00014874412105470518
Richard Moore,0.0015565937420956777
Afri Schoedon,0.0010500018052638212
Alita Moore,0.0004330386365597409
Lucas Vogelsang,0.0
Tobias Oberstein,0.0
Luc,5.014197188030942e-05
Daniel A. Nagy,5.014197188030942e-05
Thibault Meunier,0.00126132613046685
Erik Marks,0.0037828166746776866
Wei Tang,0.003474759906669361
ia,0.00126132613046685
Cody Burns,0.0
William Chargin,0.0009379396971650641
Francisco,0.0023860487615068376
wschwab,0.001398235426870313
Remco Bloemen,0.0015489247984240744
BinaryQuasar,0.001398235426870313
Ivo Georgiev,0.0006384388261465973
Paul Bouchon,0.00215138381865258
Sungho Hwang,0.00017305118136797735
David Brailovsky,0.0038643869253907324
Justin Silver,0.00017305118136797735
Ian Welsh,0.00017305118136797735
Lucas,0.00017305118136797735
Albert,0.00017305118136797735
Maciej Górski,0.00017305118136797735
Andrew Parker,0.005608464693393154
bitspill,0.00017305118136797735
Joe Jordan,0.011451246670089782
John Forrest,0.0047783522042840025
Jean Cvllr,0.0006208435558714368
Muhammad Altabba,0.0006208435558714368
Tal Ater,0.0006208435558714368
Logan Saether,0.0006208435558714368
DB Hurley,0.0006208435558714368
Dan Finlay,0.0006698822948051041
Domino Valdano,0.000974972834849658
Mikhail Grechannikov,0.0002946057684346961
James Hancock,0.0010752126424218818
HsiaChiHao,0.0008534000588477007
Jochem Brouwer,0.00291428263259529
Jordi Baylina,0.0006307739245016928
Kashish Khullar,6.802608796685704e-05
Pavel Motyrev,6.802608796685704e-05
Qi Zhou,0.004372150463407013
cslarson,2.690342011659851e-05
Carl Larson,2.690342011659851e-05
phiferd,0.0
James Sangalli,6.247767216311663e-05
yoshinori fukushima,0.00016091618049813864
juztin,0.00016091618049813864
Dave Sag,0.00016091618049813864
Jorge Izquierdo,0.00018659372542589934
Francisco Giordano,0.0005701181460476277
Dean Eigenmann,0.00018762740513377177
Jay Logelin,0.0
Sho IIZUKA,0.0
David Stanfill,0.0003081354383256277
Taha Dhailey,0.0007334730291974001
Sudeep Biswas,0.0007334730291974001
Jordan Schalm,0.0007334730291974001
Andrew Miller,0.0004913303764668947
Danny Ryan,0.004970564047119711
Leo Arias,0.0025969395160112658
Little Sheep,0.0024102872145987113
Martin Holst Swende,0.023150782785417177
Tommy Nicholas,0.0
gary rong,0.0007931572475501068
Pelle Braendgaard,0.0
WTRMQDev,0.0015765192340265657
Danno Ferrin,0.0023625726890962374
ifdefelse,0.0015765192340265657
PhyrexTsai,0.0
Ricardo Guilherme Schmidt,0.00013057103329705254
Lanre Ige,0.0010171947638997797
misrab,0.001476318508356826
bradleat,8.129863354005866e-05
Mark Beylin,0.0
Antonio Salazar Cardozo,0.0002850510961880715
Zachary James Williamson,0.001501634025797854
pdyraga,0.0002850510961880715
Nick Gheorghita,0.0006419077673248376
g. nicholas d'andrea,0.0010454236370895657
ThunderDeliverer,0.0
Nitika Goel,0.0
Moody Salem,0.00048534593029081344
Watson Ladd,0.00048534593029081344
ledgerwatch,0.0006461624837292131
Alan Lu,0.0001117179063566005
cha0sg0d,0.0008337575669946841
Changhoon Lee,0.0008337575669946841
Sebastian C. Bürgel,0.0008337575669946841
Witek,0.0
Andrew Cooke,0.0008337575669946841
yarrumretep,0.00016261290182564757
The Officious BokkyPooBah,0.00016261290182564757
Nate Welch,0.00016261290182564757
Nitro888,0.0
achon22,0.0
Simon Jentzsch,0.00027287108012083574
marianasoff,0.0001117179063566005
Juliano Rizzo,0.0001117179063566005
Ryan Ghods,0.001087821694498308
Bogdan Gusiev,0.001087821694498308
Enrique Ortiz,0.001087821694498308
Patricio Palladino,0.001087821694498308
Pedro Gomes,0.008902488798060585
Samuel Furter,0.001087821694498308
Zainan Zhou,0.00023821782765817676
jeffishjeff,0.0
SmeargleUsedFly,0.0
Lucas Cullen,0.0007588010773089745
Chaitanya Potti,0.00018633127673403472
flanagansteve,0.0013409834651956633
Philippe Castonguay,0.00018335701042636963
EOS Classic,2.8764380497605294e-05
Lefteris Karapetsas,0.00010979353631646728
Ayrat Badykov,0.00010979353631646728
benk10,0.0
atlanticcrypto,0.0005603063585887552
c-g-e-w-e-k-e-,0.00032026437155615375
Bryant Eisenbach,7.359185813511251e-05
Richard Meissner,0.0014426181794414258
Vittorio Minacori,0.0
Angel Leon,0.0005613749531606794
frenchkebab,0.008159870202883446
John Shiple,0.00019546597006558081
triggering-event,0.00019546597006558081
Maxim,0.00019546597006558081
thec00n,0.00021104157457570616
Abdelhamid Bakhta,0.0005789734504459269
Shoaib Ahmed,0.0007977127657896718
Zhihao Chen,0.0007977127657896718
hjlee9182,0.0007977127657896718
Charles Cooper,0.0004296062540219157
Maurelian,0.0
Noah Zinsmeister,0.00019546597006558081
Trustfarm-heart,0.0004009591288375463
Frank.R.Wu,0.00012253963291297047
Christoph Mussenbrock,0.0
ethosdev,0.006754849746831545
Tim Beiko,0.006015381323399636
Ratan (Rai) Sur,0.0009692115914049069
Mister-Meeseeks,0.003089750195931572
Bas Nijholt,0.003089750195931572
Suriyaa Sundararuban,0.003089750195931572
Andrea Lanfranchi,0.0001117179063566005
Filip Š,0.00016843835402825016
pldespaigne,0.00016843835402825016
Michele Balistreri,0.0
Bitgamma,0.0
Ikmyeong Na,0.0
Cyril Lapinte,2.8764380497605294e-05
Alex Forshtat,0.0005838744327034648
Dror Tirosh,0.020798667948375454
yoav-tabookey,0.0010013930264885186
0age,0.002569888181969473
MrChico,0.0018181430848287188
Tom Brand,0.0013633648730958642
A. F. Dudley,0.003825778742035905
alex-forshtat-tbk,0.0011366876080519863
Bruno Barbieri,9.86755016011185e-05
Marius van der Wijden,0.0037737876593083907
Tadashi,0.0006374319956913795
Adam Schmideg,0.0
Kris Shinn,0.0
Vincent,9.86755016011185e-05
Xinyang,0.0003992063203576867
Gabriel Barros,0.0
Patrick Gallagher,0.0
Mohamed Abdulaziz,0.000819265043199486
Lane Rettig,5.70460693326341e-05
AlexandreBelling,0.0001117179063566005
Sally MacFarlane,0.00039760729638894823
Bryan Stitt,0.00039760729638894823
Shane,0.0
Loredana Cirstea,0.0
Duncan Westland,0.0
Johann Barbie,0.0
Alexander,0.0010040293573208086
Santiago Palladino,0.00026813635367736
Lee Raj,0.00021104157457570616
Daniel Lehrner,0.0
Mikhail Melnik,0.002421006570306855
William Schwab,0.0006254044653848968
Adrian Sutton,0.0
John Adler,0.0
Alberto Cuesta Cañada,0.009113193893630977
sherbst,0.00023543652396661885
HAOYUatHZ,6.802608796685704e-05
robzizo,9.86755016011185e-05
pix16,9.86755016011185e-05
pizzarob,0.0008385324017306154
pizza-r0b,9.86755016011185e-05
Radek,0.0
soham,0.00038370027128601964
Dominic Letz,0.0005076806192366836
Jean-Philippe Aumasson,0.0005700796734966127
Mamy Ratsimbazafy,4.819741661846925e-06
Carl Beekhuizen,0.0005755109874008232
Kirk Baird,0.0007481512263444626
David Hermann Brandt,0.0001810489255203985
Andrew,0.0007456678619008634
econoar,0.0007456678619008634
Edson Ayllon,0.0001117179063566005
Marta Bellés,0.0
Antonio Sanso,6.730175270445551e-05
Paul Miller,6.730175270445551e-05
Sam Richards,0.0
Kelly Olson,6.247767216311663e-05
Eric Winer,0.0
Joey Stockermans,0.0
lemontreeran,0.0
Derek周朝晖,0.0
zakrad,0.0006573016243268117
Kohshi Shiba,0.0
0xfawkes,0.0
louisguthmannStarkWare,0.0
Jim McDonald,0.0
Andrei Maiboroda,0.0023100676129371228
Medard Mandane,0.0007617389596061845
David Bieber,0.0007617389596061845
meowsbits,0.0003781219137281941
jaerith,6.247767216311663e-05
SuryaSJit,0.00014156865133633378
Liraz Siri,0.00014156865133633378
Uri Klarman,3.513509103809446e-05
Gregory Markou,0.0
Balaji Shetty Pachai,0.0
Joel Thorstensson,0.0
Jonathan Underwood,0.0
Sina Mahmoodi,9.86755016011185e-05
Paul Razvan Berg,0.0036841453637303876
Nicolás Venturo,0.0011100096824971145
Vie,0.0011100096824971145
Afr Schoe,0.0013387088066435723
Tomasz Kajetan Stańczak,3.5089642301019116e-05
William Morriss,0.0015665095545128874
Ansgar Dietrichs,0.003207787437598222
Cliff Hall,0.0
Blaine Malone,0.0
James Seibel,0.0
VexyCats,0.0
Peter Jihoon Kim,0.0
Peter Grassberger,0.0
Daniel Luca,0.0002687030555527943
Michael Sproul,0.0
Sacha Saint-Leger,0.0
Fokion Zervoudakis,0.0001068588443004945
chaals,0.0
weijia31415,0.0
rictorlome,0.0
BitsBeTrippin_Official,9.86755016011185e-05
query0x,0.0
Dhruv Malik,0.0
DHRUV,0.0
drikssy,0.0
sgmfinance,0.0
Franco Victorio,0.0
Will42,0.0
smithereens,0.0
will@solv.finance,0.0
Hugo,1.2531328320802007e-05
Ori Pomerantz,0.0017014661500575725
Spirin Vladimir,0.00025355725972849924
dankrad,4.825343145581148e-05
Mikhail Kalinin,0.008056849334809496
Alex Stokes,0.007697295799882247
George Kadianakis,0.005118084475098011
lukasschor,0.0
Anton Bukov,4.889140776291303e-06
Philippe Dumonet,0.001530689477281754
Sören Steiger,0.0
Matt Stam,0.0
taek,0.0
Yoav Weiss,0.0
GT,0.0
shahafn,0.0
Kristof Gazso,0.0
Armando Andini,0.0
Fredrik Svantes,0.0
rex f,0.0
Gregory Rocco,0.0
Tim Daubenschütz,0.011699269529520218
wyc,0.0
Jules Lai,0.0
mr.yalamanchi,0.0
Justin Florentine,4.4982786193589686e-05
Anders,0.011790962971793871
Daniel Ivanov,0.0
pandadefi,0.0001068588443004945
Victor Dusart,0.003885536307188483
Joey,0.0001068588443004945
t11s,0.0001068588443004945
El De-dog-lo,0.0001068588443004945
Ahmad Bitar,0.001530689477281754
Ayman Bouchareb,1.6065805539489751e-06
Jonny Rhea,1.6065805539489751e-06
Isaac Patka,0.0
Joshua Tan,0.0
Andrew Ashikhmin,0.00039529428958598597
Inphi,0.00039529428958598597
protolambda,0.00032688404895695085
Roberto Bayardo,0.00039529428958598597
Gabi,0.0006363930387171486
EmojiDao,9.303051465472256e-05
niftynathangang,0.00041852680243186874
emojidao,9.303051465472256e-05
Fatih,0.00048189248647446606
LanceSnow,0.00048189248647446606
Victor Muñoz,0.0
Easy Innova,0.0
Andres Guarneros,0.0
Ignacio Mazzara,0.0
Shu,0.0
rotcivegaf,0.0
P. Misirov,0.0
Hari,0.0
ericmartihaynes,0.0
Brendan Asselstine,0.0
Chris Whinfrey,0.0
Pierrick Turelier,0.0
Agusx1211,0.0
Taehee Yoon,0.0006376630021323766
muhammedea,0.0
Buzz Cai,0.0
Toni Wahrstätter,0.0
aspoky,0.0
Anton Wahrstätter,0.0
chunningham,0.0
Sam Gbafa,0.0
Bumblefudge,0.0
Oliver Terbu,0.0
yus,0.0
adeelhasan,0.0
VeegaLabs Official,0.0
gavfu,0.0
Gavin Fu,0.0
Firn Protocol,0.0
Weiji Guo,0.0
pistomat,0.0
wwhchung,1.92789666473877e-05
tserg,0.0004162858325786089
DeFiFoFum,0.0
Apeguru,0.0
Jan Turk,0.0
Steven Pineda,0.0
cygaar,0.0
2pmflow,0.0
Ernesto García,0.0006900521150475286
Riedl Kevin,0.0
Bsc,0.0
5660.eth,0.0
Lambdalf the White,0.0
kevinbogner,0.0
OmkarK97,0.0
Suning Yao,0.0
Keegan Lee,0.0
Vazi,0.0
Tal Be'ery,0.0
corentinDallenogare,0.0
Jayden Windle,0.0
Chiro Hiro,0.0
ArchieChang,0.0
Yonathan Randyanto,0.0
NarcisCRO,0.0
KBT Admin,0.0
delaaxe,0.0
adam-alchemy,0.0
Glitch,0.00028225700920369955
jxom,0.00028225700920369955
everdimension,0.00028225700920369955
Kyle Den Hartog,0.00028225700920369955
